PVM peer = seed.btc.petertodd.org:8333  version = 70015   user agent = /Satoshi:0.17.1/   time = 2020-04-11 21:20:12  now = 2020-04-11 21:20:13  since = 1.144801s  services = [12, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(69.70.248.166) = "modemcable166.248-70-69.static.videotron.ca", V6(::ffff:69.70.248.166) = "modemcable166.248-70-69.static.videotron.ca" ]    port = 8333   time = 2020-04-10 22:07:12  now = 2020-04-11 21:20:53  since = 83621.100473s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(79.131.214.159) = "athedsl-425633.home.otenet.gr", V6(::ffff:79.131.214.159) = "athedsl-425633.home.otenet.gr" ]    port = 8333   time = 2020-03-22 19:12:10  now = 2020-04-11 21:20:53  since = 1735723.405661s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(83.59.247.233) = "233.red-83-59-247.dynamicip.rima-tde.net", V6(::ffff:83.59.247.233) = "233.red-83-59-247.dynamicip.rima-tde.net" ]    port = 8333   time = 2020-03-20 10:06:43  now = 2020-04-11 21:20:53  since = 1941250.689378s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(77.120.240.209) = "ip.77.120.240.209.stat.volia.net", V6(::ffff:77.120.240.209) = "ip.77.120.240.209.stat.volia.net" ]    port = 8333   time = 2020-04-11 09:31:33  now = 2020-04-11 21:20:54  since = 42561.000157s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(88.130.80.215) = "mue-88-130-80-215.dsl.tropolys.de", V6(::ffff:88.130.80.215) = "mue-88-130-80-215.dsl.tropolys.de" ]    port = 8333   time = 2020-03-22 07:51:51  now = 2020-04-11 21:20:54  since = 1776543.276393s  services = [13, 0, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(144.91.66.137) = "katja.ns.cloudflare.com", V6(::ffff:144.91.66.137) = "katja.ns.cloudflare.com" ]    port = 10255   time = 2020-03-25 07:29:04  now = 2020-04-11 21:20:54  since = 1518710.540216s  services = [1, 0, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 77.120.240.209:8333  version = 70015   user agent = /Satoshi:0.19.1/   time = 2020-04-11 21:20:54  now = 2020-04-11 21:20:54  since = 659.203ms  services = [9, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(87.123.22.151) = "i577b1697.versanet.de", V6(::ffff:87.123.22.151) = "i577b1697.versanet.de" ]    port = 8333   time = 2020-04-07 22:24:45  now = 2020-04-11 21:20:54  since = 341769.804196s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(45.86.203.64) = "45.86.203.64", V6(::ffff:45.86.203.64) = "::ffff:45.86.203.64" ]    port = 8333   time = 2020-04-07 20:46:30  now = 2020-04-11 21:20:54  since = 347664.848616s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(84.169.236.199) = "p54a9ecc7.dip0.t-ipconnect.de", V6(::ffff:84.169.236.199) = "p54a9ecc7.dip0.t-ipconnect.de" ]    port = 8333   time = 2020-03-26 07:39:27  now = 2020-04-11 21:20:55  since = 1431688.127286s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(87.92.208.37) = "87-92-208-37.rev.dnainternet.fi", V6(::ffff:87.92.208.37) = "87-92-208-37.rev.dnainternet.fi" ]    port = 8333   time = 2020-04-11 14:20:36  now = 2020-04-11 21:20:55  since = 25219.418685s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(86.128.130.117) = "host86-128-130-117.range86-128.btcentralplus.com", V6(::ffff:86.128.130.117) = "host86-128-130-117.range86-128.btcentralplus.com" ]    port = 8333   time = 2020-04-11 17:01:39  now = 2020-04-11 21:20:55  since = 15556.889399s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(68.205.122.68) = "68-205-122-68.res.bhn.net", V6(::ffff:68.205.122.68) = "68-205-122-68.res.bhn.net" ]    port = 8333   time = 2020-04-11 15:55:02  now = 2020-04-11 21:20:56  since = 19554.074848s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 86.128.130.117:8333  version = 70015   user agent = /Satoshi:0.19.0.1/   time = 2020-04-11 21:20:56  now = 2020-04-11 21:20:56  since = 355.467ms  services = [9, 4, 0, 0, 0, 0, 0, 0]
PVM peer = 68.205.122.68:8333  version = 70015   user agent = /Satoshi:0.18.1/   time = 2020-04-11 21:20:53  now = 2020-04-11 21:20:56  since = 3.413605s  services = [13, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(105.186.198.206) = "105-186-198-206.telkomsa.net", V6(::ffff:105.186.198.206) = "105-186-198-206.telkomsa.net" ]    port = 8333   time = 2020-04-05 19:16:17  now = 2020-04-11 21:20:56  since = 525879.483258s  services = [8, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 87.92.208.37:8333  version = 70015   user agent = /Satoshi:0.19.0.1/   time = 2020-04-11 21:20:55  now = 2020-04-11 21:20:56  since = 1.689286s  services = [9, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(84.212.150.150) = "cm-84.212.150.150.getinternet.no", V6(::ffff:84.212.150.150) = "cm-84.212.150.150.getinternet.no" ]    port = 8333   time = 2020-03-13 16:08:44  now = 2020-04-11 21:20:57  since = 2524333.882129s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(254.23.59.206) = "254.23.59.206", V6(2400:8902::f03c:91ff:fe17:3bce) = "2400:8902::f03c:91ff:fe17:3bce" ]    port = 8333   time = 2020-04-01 04:48:34  now = 2020-04-11 21:20:58  since = 923544.3038s  services = [37, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(217.138.202.76) = "217.138.202.76", V6(::ffff:217.138.202.76) = "::ffff:217.138.202.76" ]    port = 8333   time = 2020-04-01 07:13:29  now = 2020-04-11 21:20:58  since = 914849.399944s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(110.87.73.23) = "23.73.87.110.broad.xm.fj.dynamic.163data.com.cn", V6(::ffff:110.87.73.23) = "23.73.87.110.broad.xm.fj.dynamic.163data.com.cn" ]    port = 8333   time = 2020-03-20 02:58:42  now = 2020-04-11 21:20:58  since = 1966936.854699s  services = [13, 0, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
